Codigo do Investidor,Data de Adesao,Estado Civil,Genero,Profissao,Idade,UF do Investidor,Cidade do Investidor,Pais do Investidor,Situacao da Conta,Operou 12 Meses
4298869,22/03/2021,Solteiro(a),F,OUTROS,41,SP,SAO PAULO,BRASIL,A,S
4310093,06/11/2018,Casado(a) com brasileiro(a) naturalizado(a),M,OUTROS,67,SP,SAO PAULO,BRASIL,A,S
4298912,20/01/2023,Solteiro(a),M,OUTROS,34,SC,ITAJAI,BRASIL,D,N
4302774,06/11/2018,Casado(a) com brasileiro(a) naturalizado(a),M,ADVOGADO,51,SP,SAO PAULO,BRASIL,A,S
1027303,15/07/2024,Desquitado(a),M,ANALISTA DE SISTEMAS,38,RJ,RIO DE JANEIRO,BRASIL,A,S
1025036,15/06/2018,Desquitado(a),M,OUTROS,51,SP,JAGUARIUNA,BRASIL,A,N
1028978,04/05/2021,Desquitado(a),M,SERVIDO PÚBLICO ESTADUAL,46,SP,COTIA,BRASIL,A,S
1029064,12/03/2016,Solteiro(a),M,OUTROS,37,SP,GUARUJA,BRASIL,A,S
1029291,02/07/2020,Solteiro(a),F,OUTROS,30,RJ,RIO DE JANEIRO,BRASIL,A,N
1023368,15/03/2018,Desquitado(a),M,APOSENTADO (EXCETO FUNCIONÁRIO PÚBLICO),62,SP,SAO JOSE DOS CAMPOS,BRASIL,A,N
1021396,11/11/2021,Casado(a) com brasileiro(a) nato(a),M,OUTROS,64,RJ,RIO DE JANEIRO,BRASIL,A,S
1024627,10/03/2016,Desquitado(a),M,PROFESSOR DE PRIMEIRO E SEGUNDO GRAUS,39,CE,ITAPAJE,BRASIL,D,N
1027062,01/07/2016,Divorciado(a),M,OUTROS,56,RS,GUAPORE,BRASIL,A,N
1016397,07/03/2016,Solteiro(a),M,TRABALHADOR DE FABRICAÇÃO DE ARTEFATOS DE MADEIRA,49,SP,SAO BERNARDO DO CAMPO,BRASIL,A,N
