Codigo do Investidor,Data da Operacao,Tipo Titulo,Vencimento do Titulo,Quantidade,Valor do Titulo,Valor da Operacao,Tipo da Operacao,Canal da Operacao
13016376,30/05/2023,Tesouro IPCA+,15/05/2045,"8,96","1205,70","10803,07",C,H
11792077,05/05/2023,Tesouro Selic,01/03/2029,"0,01","0,00","130,11",V,H
26789790,11/05/2023,NTN-B1,15/12/2049,"0,04","1662,99","66,51",C,H
13673615,03/05/2023,Tesouro Selic,01/03/2026,"0,30","0,00","3936,03",C,H
36504440,09/05/2023,Tesouro Selic,01/03/2026,"5,70","0,00","74938,47",V,H
17194824,17/05/2023,Tesouro IPCA+,15/05/2035,"0,47","2090,09","982,34",V,H
8484732,05/05/2023,NTN-B1,15/12/2064,"0,14","700,41","98,05",C,H
5775656,02/05/2023,Tesouro Selic,01/03/2029,"0,20","0,00","2596,83",V,H
1469385,12/05/2023,Tesouro Selic,01/03/2026,"0,02","0,00","263,48",C,H
37811527,18/05/2023,Tesouro Selic,01/03/2029,"0,01","0,00","131,05",C,H
14471343,16/05/2023,Tesouro Selic,01/03/2025,"0,12","0,00","1586,01",V,H
43917109,26/05/2023,Tesouro Selic,01/03/2029,"0,01","0,00","131,38",C,H
9535084,19/05/2023,Tesouro Selic,01/03/2027,"0,30","0,00","3949,43",V,H
14771975,15/05/2023,Tesouro IPCA+ com Juros Semestrais,15/08/2040,"1,00","4284,49","4284,49",C,H
3885603,11/05/2023,Tesouro IPCA+,15/05/2045,"0,08","1130,98","90,47",C,H
13455203,15/05/2023,Tesouro Selic,01/03/2026,"0,02","0,00","263,65",C,H
38430387,26/05/2023,Tesouro Prefixado,01/01/2029,"0,40","546,75","218,70",C,H
868248,08/05/2023,Tesouro IPCA+,15/05/2035,"0,70","2056,46","1439,52",C,H
368533,02/05/2023,Tesouro Selic,01/03/2026,"0,04","0,00","524,56",C,H
3535572,25/05/2023,Tesouro IPCA+ com Juros Semestrais,15/08/2040,"0,01","4325,64","43,25",C,H
28155372,26/05/2023,Tesouro Selic,01/03/2027,"0,05","0,00","660,04",V,H
1456,25/05/2023,Tesouro Prefixado,01/01/2025,"150,00","838,77","125815,50",V,H
34851426,24/05/2023,Tesouro Selic,01/03/2026,"0,01","0,00","132,34",C,S
17939673,26/05/2023,Tesouro Prefixado,01/01/2026,"0,78","758,75","591,82",V,H
501270,17/05/2023,Tesouro IPCA+,15/05/2045,"0,42","1172,07","492,26",C,H
16839771,29/05/2023,Tesouro Selic,01/03/2026,"0,08","0,00","1060,50",C,H
518860,09/05/2023,Tesouro Prefixado,01/01/2025,"0,22","830,84","182,78",V,H
16238623,31/05/2023,Tesouro Selic,01/03/2026,"0,01","0,00","132,69",C,H
11877341,05/05/2023,Tesouro Selic,01/03/2027,"0,02","0,00","261,81",V,H
11609169,12/05/2023,Tesouro Selic,01/03/2029,"0,04","0,00","522,51",V,H
9449693,08/05/2023,Tesouro Selic,01/03/2026,"1,20","0,00","15769,81",C,H
1274380,11/05/2023,NTN-B1,15/12/2084,"5,17","218,62","1130,26",C,H
19942398,22/05/2023,Tesouro Selic,01/03/2027,"0,17","0,00","2239,17",V,H
4977565,17/05/2023,Tesouro Prefixado,01/01/2029,"3,25","532,65","1731,11",V,S
5091262,09/05/2023,Tesouro Selic,01/03/2029,"0,23","0,00","2999,54",C,H
11618957,03/05/2023,Tesouro Selic,01/03/2029,"0,02","0,00","259,96",C,H
15643451,08/05/2023,Tesouro Prefixado com Juros Semestrais,01/01/2033,"0,10","920,45","92,04",C,H
18855739,23/05/2023,Tesouro Selic,01/03/2029,"0,03","0,00","393,45",C,H
32869900,15/05/2023,Tesouro IPCA+,15/05/2045,"1,31","1142,43","1496,58",V,H
22853997,26/05/2023,Tesouro Selic,01/03/2029,"1,51","0,00","19839,48",C,H
30808020,10/05/2023,Tesouro Selic,01/03/2029,"0,04","0,00","521,95",C,H
6177583,05/05/2023,Tesouro Prefixado,01/01/2026,"1,73","748,41","1294,74",C,H
2859473,22/05/2023,Tesouro Selic,01/03/2025,"0,04","0,00","529,76",V,H
1862682,15/05/2023,Tesouro Selic,01/03/2029,"0,77","0,00","10072,40",C,H
19911747,03/05/2023,Tesouro Selic,01/03/2025,"0,03","0,00","394,66",V,H
40359800,09/06/2023,Tesouro Selic,01/03/2026,"0,09","0,00","1198,17",C,H
39952002,13/06/2023,Tesouro IPCA+,15/05/2045,"0,04","1244,12","49,76",C,S
176147,09/06/2023,Tesouro Prefixado com Juros Semestrais,01/01/2033,"0,04","977,55","39,10",C,H
2329281,14/06/2023,Tesouro IPCA+ com Juros Semestrais,15/08/2032,"0,27","4380,50","1182,73",C,H
405149,02/06/2023,Tesouro Prefixado,01/01/2026,"0,80","764,08","611,26",C,H
3190424,12/06/2023,Tesouro Selic,01/03/2026,"0,08","0,00","1065,61",C,H
9131136,13/06/2023,Tesouro Selic,01/03/2029,"0,07","0,00","925,42",C,H
508084,27/06/2023,Tesouro Selic,01/03/2026,"0,02","0,00","267,96",C,H
688414,14/06/2023,Tesouro IPCA+,15/05/2035,"0,10","2194,88","219,48",C,H
3304759,09/06/2023,Tesouro Selic,01/03/2027,"0,02","0,00","265,34",V,H
44058100,16/06/2023,Tesouro Selic,01/03/2026,"6,74","0,00","89963,90",C,H
43837580,06/06/2023,Tesouro IPCA+ com Juros Semestrais,15/08/2040,"1,54","4400,80","6777,23",C,H
1727029,09/06/2023,Tesouro IPCA+,15/05/2045,"1,00","1256,14","1256,14",C,H
346334,05/06/2023,Tesouro Selic,01/03/2026,"0,21","0,00","2790,64",V,H
1855248,12/06/2023,Tesouro Selic,01/03/2029,"1,90","0,00","25098,94",C,H
4982558,06/06/2023,Tesouro Selic,01/03/2025,"1,23","0,00","16383,50",V,S
716074,05/06/2023,Tesouro Selic,01/03/2026,"0,76","0,00","10102,26",C,S
6113440,15/06/2023,Tesouro Selic,01/03/2029,"0,11","0,00","1455,68",C,H
7155375,20/06/2023,Tesouro Selic,01/03/2029,"2,36","0,00","31287,67",V,H
41263945,26/06/2023,Tesouro Selic,01/03/2029,"1,94","0,00","25784,26",C,H
9293610,16/06/2023,Tesouro Prefixado,01/01/2029,"9,00","561,36","5052,24",C,H
13333676,13/06/2023,Tesouro IPCA+,15/05/2029,"0,01","3050,08","30,50",C,H
38632388,27/06/2023,Tesouro Selic,01/03/2025,"0,07","0,00","939,19",V,H
742135,02/06/2023,Tesouro Prefixado com Juros Semestrais,01/01/2033,"20,84","959,68","19999,73",C,H
10647734,02/06/2023,Tesouro Prefixado,01/01/2029,"0,09","549,29","49,43",C,H
27691377,30/06/2023,Tesouro Prefixado,01/01/2029,"10,00","568,74","5687,40",C,H
28478501,21/06/2023,Tesouro Prefixado com Juros Semestrais,01/01/2033,"0,25","984,03","246,00",C,H
6924839,27/06/2023,Tesouro IPCA+,15/05/2045,"28,12","1254,86","35286,66",C,H
7580971,23/06/2023,Tesouro Selic,01/03/2029,"0,03","0,00","398,29",V,H
4909105,06/06/2023,Tesouro Selic,01/03/2026,"0,03","0,00","398,97",C,H
2274214,12/06/2023,Tesouro IPCA+,15/05/2029,"0,12","3044,11","365,29",C,H
40932767,16/06/2023,Tesouro Selic,01/03/2029,"0,01","0,00","132,40",C,H
16465811,12/06/2023,Tesouro IPCA+,15/05/2035,"0,05","2211,01","110,55",C,H
1999583,09/06/2023,Tesouro IPCA+,15/05/2045,"0,28","1256,14","351,71",C,H
29031184,13/06/2023,Tesouro IPCA+,15/05/2029,"1,96","3050,08","5978,15",C,H
43071031,22/06/2023,Tesouro IPCA+ com Juros Semestrais,15/08/2032,"0,22","4371,81","961,79",V,H
6727223,21/06/2023,Tesouro Selic,01/03/2026,"0,11","0,00","1470,85",C,H
22488317,26/06/2023,Tesouro IPCA+,15/05/2045,"0,80","1254,58","1003,66",C,H
30229390,02/06/2023,Tesouro IPCA+ com Juros Semestrais,15/08/2032,"0,03","4349,88","130,49",C,H
2778877,14/06/2023,Tesouro Selic,01/03/2029,"0,14","0,00","1851,77",C,H
1422115,19/06/2023,Tesouro Selic,01/03/2026,"0,72","0,00","9615,65",C,H
13631870,05/06/2023,Tesouro Selic,01/03/2026,"0,02","0,00","265,84",C,H
40914263,20/06/2023,Tesouro Prefixado,01/01/2026,"0,06","774,82","46,48",C,H
43153594,30/06/2023,Tesouro Selic,01/03/2026,"0,14","0,00","1878,58",C,H
4483141,28/06/2023,Tesouro Selic,01/03/2025,"0,02","0,00","268,48",V,H
